decision	panel_tier	include_phase2	priority	sample_id	accession	organism	datatype	broad_group	order_or_subgroup	family	busco	panel_role	rationale	caveats	source_url_or_ftp
main_panel	main_genome	yes	high	protura_purged	local:protura_purged	protura_purged	genome_local	protura	taxonomy_to_confirm	taxonomy_to_confirm	NA	target	Phase 1 target and biological anchor for expanded panel	Local assembly; taxonomy and assembly quality must remain explicitly caveated	local
side_panel	side_transcriptome	no	low	GKDB00000000.1	GKDB00000000.1	Sinentomon erythranum	transcriptome	protura	protura	Sinentomidae	C:64.1%[S:42.6%,D:21.5%],F:18.2%,M:17.6%,n:1667	protura_side_panel	Useful Protura comparator only for a later transcriptome-aware side analysis	Transcriptome only; not comparable to genome assemblies in main k-mer panel	https://sra-download.ncbi.nlm.nih.gov/traces/wgs04/wgs_aux/GK/DB/GKDB01/GKDB01.1.fsa_nt.gz
side_panel	side_transcriptome	no	low	GAXE00000000.2	GAXE00000000.2	Acerentomon sp.	transcriptome	protura	protura	Acerentomidae	C:75.2%[S:55.0%,D:20.2%],F:9.8%,M:14.9%,n:1667	protura_side_panel	Useful Protura comparator only for a later transcriptome-aware side analysis	Transcriptome only; not comparable to genome assemblies in main k-mer panel	https://sra-download.ncbi.nlm.nih.gov/traces/wgs03/wgs_aux/GA/XE/GAXE02/GAXE02.1.fsa_nt.gz
reserve	reserve_genome	no	medium	GCA_009870155.1	GCA_009870155.1	Pseudobourletiella spinata	genome	collembola	collembola	Bourlettiellidae	C:77.3%[S:76.4%,D:0.8%],F:14.3%,M:8.5%,n:1667	collembola_reserve	Valid Collembola candidate but not needed in first balanced 16-taxon panel	Can replace a lower-quality or failed Collembola download	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/870/155/GCA_009870155.1_ASM987015v1/GCA_009870155.1_ASM987015v1_genomic.fna.gz
main_panel	main_genome	yes	high	GCA_947179485.1	GCA_947179485.1	Allacma fusca	genome	collembola	collembola	Sminthuridae	C:84.6%[S:82.3%,D:2.3%],F:8.7%,M:6.7%,n:1667	collembola_comparator	Adds Collembola diversity beyond Folsomia with acceptable BUSCO	Check assembly size/fragmentation before final run	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/179/485/GCA_947179485.1_qeAllFusc8.1/GCA_947179485.1_qeAllFusc8.1_genomic.fna.gz
main_panel	main_genome	yes	high	GCA_964034955.1	GCA_964034955.1	Orchesella flavescens	genome	collembola	collembola	Orchesellidae	C:87.7%[S:80.3%,D:7.4%],F:6.8%,M:5.5%,n:1667	collembola_comparator	Strong Collembola genome candidate with good BUSCO	Check assembly size/fragmentation before final run	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/034/955/GCA_964034955.1_qeOrcFlav1.1/GCA_964034955.1_qeOrcFlav1.1_genomic.fna.gz
main_panel	main_genome	yes	high	GCA_052721305.1	GCA_052721305.1	Folsomia candida	genome	collembola	collembola	Isotomidae	C:94.4%[S:92.2%,D:2.2%],F:2.6%,M:3.1%,n:1667	phase1_anchor_collembola	Phase 1 anchor and high-BUSCO Collembola comparator	Keep for continuity with Phase 1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/721/305/GCA_052721305.1_ASM5272130v1/GCA_052721305.1_ASM5272130v1_genomic.fna.gz
main_panel	main_genome	yes	medium	GCA_046254475.1	GCA_046254475.1	Podura aquatica	genome	collembola	collembola	Poduridae	C:76.2%[S:66.8%,D:9.4%],F:10.5%,M:13.3%,n:1667	collembola_comparator	Adds Collembola diversity; useful despite lower BUSCO than Folsomia/Orchesella	Medium priority due to BUSCO and possible fragmentation	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/254/475/GCA_046254475.1_podaq_polAB-C/GCA_046254475.1_podaq_polAB-C_genomic.fna.gz
reserve	reserve_genome	no	medium	GCA_046579375.1	GCA_046579375.1	Orthonychiurus folsomi	genome	collembola	collembola	Onychiuridae	C:82.2%[S:79.9%,D:2.3%],F:9.4%,M:8.4%,n:1667	collembola_reserve	Good reserve Collembola candidate if main panel needs replacement	Not selected initially to avoid Collembola overrepresentation	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/579/375/GCA_046579375.1_ASM4657937v1/GCA_046579375.1_ASM4657937v1_genomic.fna.gz
reserve	reserve_genome	no	medium	GCA_046563655.1	GCA_046563655.1	Yuukianura sp.	genome	collembola	collembola	Neanuridae	C:79.4%[S:77.5%,D:1.9%],F:9.5%,M:11.0%,n:1667	collembola_reserve	Reserve Collembola candidate for broader taxon sampling	Not selected initially to avoid Collembola overrepresentation	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/563/655/GCA_046563655.1_ASM4656365v1/GCA_046563655.1_ASM4656365v1_genomic.fna.gz
